0x1c04e940:	0x1919191b	0x18191919	0x191a1919	0x18191819
0x1c04e950:	0x19191819	0x19191919	0x18191919	0x191b1919
0x1c04e960:	0x18181818	0x18181818	0x18181818	0x18181818
0x1c04e970:	0x18181818	0x18181818	0x18181818	0x18181818
0x1c04e980:	0x16171818	0x17171718	0x17171717	0x17171717
0x1c04e990:	0x17171717	0x17171718	0x17171717	0x17171718
0x1c04e9a0:	0x16171516	0x16171616	0x16161616	0x16161616
0x1c04e9b0:	0x16171716	0x16161616	0x15161617	0x16171617
0x1c04e9c0:	0x13161615	0x14151316	0x13141415	0x13141415
0x1c04e9d0:	0x15161415	0x16151415	0x14161516	0x15151515
0x1c04e9e0:	0x13141314	0x13131313	0x13131313	0x14131313
0x1c04e9f0:	0x13131313	0x13141313	0x13141313	0x13141313
0x1c04ea00:	0x13131313	0x13131313	0x13131313	0x13131313
0x1c04ea10:	0x13131313	0x13131313	0x13131313	0x13141313
0x1c04ea20:	0x11131313	0x13131313	0x13131313	0x13131313
0x1c04ea30:	0x13131313	0x13131313	0x13131313	0x13131313
0x1c04ea40:	0x12131313	0x13131312	0x13131313	0x13131313
0x1c04ea50:	0x13131313	0x12131313	0x13131313	0x13131313
0x1c04ea60:	0x11131113	0x11131213	0x12131213	0x11121112
0x1c04ea70:	0x13131313	0x12131313	0x13131313	0x13131313
0x1c04ea80:	0x12131213	0x13121311	0x13131113	0x12131213
0x1c04ea90:	0x11131213	0x13131313	0x13131313	0x13131313
0x1c04eaa0:	0x11121113	0x13131313	0x13131312	0x12131213
0x1c04eab0:	0x12131313	0x13131213	0x13131313	0x12131313
0x1c04eac0:	0x12131313	0x12131313	0x12131313	0x12121313
0x1c04ead0:	0x13131313	0x13131313	0x12131313	0x13131313
0x1c04eae0:	0x11131313	0x13131313	0x13131213	0x13131313
0x1c04eaf0:	0x13131313	0x13131313	0x13131313	0x13131313
0x1c04eb00:	0x11131313	0x13131313	0x13131313	0x13131313
0x1c04eb10:	0x13131313	0x12131313	0x13131313	0x13131313
0x1c04eb20:	0x13131313	0x13131313	0x13131313	0x13131313
0x1c04eb30:	0x13131313	0x13131313	0x13131313	0x13141313
